iter	Passed	Remaining
0	5	5297
1	9	4826
2	14	4939
3	20	5041
4	25	5020
5	30	5111
6	36	5128
7	41	5172
8	47	5278
9	53	5311
10	58	5282
11	63	5248
12	68	5233
13	74	5214
14	79	5192
15	84	5193
16	89	5188
17	95	5184
18	100	5182
19	105	5171
20	111	5174
21	116	5169
22	121	5158
23	127	5177
24	132	5178
25	138	5202
26	145	5227
27	151	5250
28	157	5257
29	162	5244
30	167	5241
31	173	5233
32	178	5222
33	183	5222
34	189	5219
35	194	5214
36	200	5209
37	205	5193
38	210	5187
39	215	5177
40	220	5165
41	226	5156
42	231	5149
43	236	5138
44	241	5132
45	247	5136
46	252	5129
47	258	5123
48	263	5116
49	268	5104
50	274	5098
51	279	5092
52	284	5079
53	289	5077
54	294	5067
55	300	5059
56	305	5050
57	310	5038
58	315	5029
59	320	5024
60	325	5013
61	331	5016
62	336	5011
63	342	5015
64	349	5022
65	355	5024
66	360	5022
67	365	5013
68	370	5005
69	376	4996
70	381	4986
71	386	4979
72	391	4969
73	396	4964
74	401	4956
75	406	4945
76	411	4936
77	417	4929
78	421	4919
79	426	4910
80	431	4901
81	437	4897
82	442	4891
83	448	4891
84	453	4884
85	459	4878
86	464	4870
87	469	4865
88	474	4856
89	479	4849
90	485	4847
91	490	4839
92	495	4830
93	500	4824
94	505	4817
95	510	4808
96	515	4802
97	520	4794
98	526	4789
99	531	4783
100	536	4777
101	542	4776
102	548	4773
103	553	4768
104	559	4771
105	568	4796
106	574	4796
107	580	4791
108	585	4785
109	590	4780
110	596	4773
111	600	4764
112	606	4757
113	611	4753
114	616	4747
115	622	4741
116	627	4733
117	632	4726
118	637	4720
119	643	4718
120	648	4712
121	653	4705
122	658	4696
123	664	4691
124	669	4685
125	674	4677
126	680	4674
127	685	4670
128	690	4662
129	695	4657
130	701	4650
131	706	4643
132	711	4637
133	716	4630
134	721	4622
135	726	4617
136	731	4610
137	737	4606
138	743	4603
139	748	4597
140	754	4596
141	760	4594
142	766	4590
143	770	4577
144	775	4573
145	780	4567
146	786	4562
147	791	4556
148	796	4549
149	801	4541
150	806	4535
151	810	4522
152	816	4519
153	821	4514
154	827	4509
155	832	4503
156	838	4499
157	843	4493
158	848	4489
159	854	4483
